date,source,series_code,series_name,value
1987-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,11.2201362464978
1987-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,11.22
1987-11-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,12.92
1987-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.26344777e-05
1987-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,15.0790605790378
1987-11-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,15.08
1987-12-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,14.38
1987-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.44221901e-05
1987-12-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,14.149476080044
1987-12-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,14.15
1988-01-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,16.78
1988-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.7146457e-05
1988-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,18.8894119486055
1988-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,18.89
1988-02-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,18.35
1988-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,1.98384369e-05
1988-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,15.6999192311274
1988-02-29,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,15.7
1988-03-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,16.59
1988-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.33301029e-05
1988-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,17.6005096449912
1988-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,17.6
1988-04-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,20.25
1988-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,2.7830389e-05
1988-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,19.289611020104
1988-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,19.29
1988-05-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,18.65
1988-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,3.26783343e-05
1988-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,17.4196102684731
1988-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,17.42
1988-06-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-06-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,20.17
1988-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,3.98675537e-05
1988-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,21.9999567113798
